"version","version_season","season","castaway","castaway_id","score_overall","score_outwit","score_outplay","score_outlast","score_result","score_jury","score_vote","score_adv","score_inf","r_score_chal_all","r_score_chal_immunity","r_score_chal_reward","r_score_chal_tribal","r_score_chal_tribal_immunity","r_score_chal_tribal_reward","r_score_chal_individual","r_score_chal_individual_immunity","r_score_chal_individual_reward","r_score_chal_team","r_score_chal_team_immunity","r_score_chal_team_reward","r_score_chal_duel","p_score_chal_all","p_score_chal_immunity","p_score_chal_reward","p_score_chal_tribal","p_score_chal_tribal_immunity","p_score_chal_tribal_reward","p_score_chal_individual","p_score_chal_individual_immunity","p_score_chal_individual_reward","p_score_chal_team","p_score_chal_team_immunity","p_score_chal_team_reward","p_score_chal_duel","r_score_vote","p_score_vote","n_votes_received","n_successful_boots","p_successful_boot","n_tribals","n_tribals_with_vote","r_score_adv","p_score_adv","n_adv_played","n_adv_not_played","n_adv_found","n_idols_found","n_voted_out_with_adv","n_voted_out_with_idol"
"US","US01",1,"Colleen","US0011",0.612554477020359,0.516004383357873,0.639556697971652,0.714285714285714,0.714285714285714,0,0.457259209444818,0,0.957915928784879,1.14,-0.65,2.29,0.5,0,1,0.64,-0.65,1.29,NA,NA,NA,NA,0.642132240004565,0.400009845518635,0.844386580507188,0.582389467137856,0.509384498927833,0.697996196199578,0.653848505680101,0.343311673007734,0.946447448921739,NA,NA,NA,NA,0.539638447971781,0.198174128979741,7,3,0.375,8,8,NA,NA,NA,NA,NA,NA,NA,NA
"US","US01",1,"Sean","US0012",0.55482436788978,0.529280304047777,0.357993201854613,0.785714285714286,0.785714285714286,0,0.549104169969875,0,0.849094063542798,-1.26,-0.85,-0.91,-0.5,0,-1,-0.76,-0.85,0.09,NA,NA,NA,NA,0.363011156808111,0.366910463257456,0.3521581333218,0.442622019494755,0.509384498927833,0.320303194218845,0.336835997444577,0.296260997198171,0.544791645393716,NA,NA,NA,NA,0.78530612244898,0.288391899027406,9,6,0.666666666666667,9,9,NA,NA,NA,NA,NA,NA,NA,NA
"US","US01",1,"Sue","US0013",0.574950018613601,0.653135803649864,0.18850946670266,0.857142857142857,0.857142857142857,0,0.749637463746375,0,0.927723572588924,-2.51,-1.1,-1.91,-0.5,0,-1,-2.01,-1.1,-0.91,NA,NA,NA,NA,0.234962333577212,0.326912664228757,0.207665595100016,0.442622019494755,0.509384498927833,0.320303194218845,0.124981328504637,0.24200612309235,0.127871245613982,NA,NA,NA,NA,1.32197971781305,0.485477230340312,5,9,0.9,10,10,NA,NA,NA,NA,NA,NA,NA,NA
"US","US01",1,"Rudy","US0014",0.560230524278344,0.503492183464798,0.267540741069986,0.928571428571429,0.928571428571429,0,0.714216144615864,0,0.487947037189552,-1.84,-0.43,-1.91,-0.5,0,-1,-1.34,-0.43,-0.91,NA,NA,NA,NA,0.300447762088368,0.437258580286238,0.207665595100016,0.442622019494755,0.509384498927833,0.320303194218845,0.223770421463794,0.398001236571446,0.127871245613982,NA,NA,NA,NA,1.61662257495591,0.593680401915369,8,10,1,11,10,NA,NA,NA,NA,NA,NA,NA,NA
"US","US01",1,"Kelly","US0015",0.851823374304673,0.747788973148355,0.842359283484438,1,1,0.428571428571429,0.732640628130635,0,0.985847911229173,2.16,2.57,-0.91,-0.5,0,-1,2.66,2.57,0.09,NA,NA,NA,NA,0.747889455801099,0.873472699344767,0.3521581333218,0.442622019494755,0.509384498927833,0.320303194218845,0.942293599481859,0.957067465307066,0.544791645393716,NA,NA,NA,NA,1.65832624716553,0.608995450252753,0,6,0.545454545454545,11,11,NA,NA,NA,NA,NA,NA,NA,NA
"US","US01",1,"Richard","US0016",0.662800551580051,0.706345823147637,0.267540741069986,1,1,0.571428571428571,0.600101363008972,0,0.973364757858122,-1.84,-0.43,-1.91,-0.5,0,-1,-1.34,-0.43,-0.91,NA,NA,NA,NA,0.300447762088368,0.437258580286238,0.207665595100016,0.442622019494755,0.509384498927833,0.320303194218845,0.223770421463794,0.398001236571446,0.127871245613982,NA,NA,NA,NA,1.35832467246158,0.498824369999005,6,9,0.9,11,10,NA,NA,NA,NA,NA,NA,NA,NA
"US","US02",2,"Debb","US0017",0.0265594173424355,5.24043187556654e-06,0.088524403898951,0,0,0,0,0,1.74681062518885e-05,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,0.450603736985229,0.425329609205605,0.420298057381863,0.442622019494755,0.4063940816813,0.412749901989019,NA,NA,NA,NA,NA,NA,NA,0,0,7,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"US","US02",2,"Kel","US0018",0.0576907773171273,0.00329709465071137,0.116477893427571,0.0714285714285714,0.0714285714285714,0,0,0,0.0109903155023712,0.5,0,1,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,0.568913174997831,0.511382976006383,0.674163773458976,0.582389467137856,0.509384498927833,0.697996196199578,NA,NA,NA,NA,NA,NA,NA,0,0,7,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"US","US02",2,"Maralyn","US0019",0.204850436160047,0.317624813186582,0.116477893427571,0.142857142857143,0.142857142857143,0,0.466666666666667,0,0.280971599510828,0.5,-0.5,1.5,0.5,-0.5,1.5,NA,NA,NA,NA,NA,NA,NA,0.568913174997831,0.425329609205605,0.748240680008757,0.582389467137856,0.4063940816813,0.777870275981806,NA,NA,NA,NA,NA,NA,NA,0.125,0.045904375819721,5,1,0.5,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"US","US02",2,"Mitchell","US0020",0.270987006378566,0.450359927307916,0.088524403898951,0.214285714285714,0.214285714285714,0,0.561643835616438,0,0.565126698332323,-0.5,-1,1,-0.5,-1,1,NA,NA,NA,NA,NA,NA,NA,0.450603736985229,0.342705120866983,0.674163773458976,0.442622019494755,0.30952861369672,0.697996196199578,NA,NA,NA,NA,NA,NA,NA,0.244047619047619,0.08962282898136,4,2,0.666666666666667,3,3,NA,NA,NA,NA,NA,NA,NA,NA
