"version_season","episode","castaway_id","screen_time"
"US42",1,"US0618",148
"US42",1,"US0609",159
"US42",1,"US0622",169
"US42",1,"US0616",176
"US42",1,"US0612",190
"US42",1,"US0621",239
"US42",1,"US0614",260
"US42",1,"US0626",268
"US42",1,"US0615",288
"US42",1,"US0624",294
"US42",1,"US0623",301
"US42",1,"US0611",303
"US42",1,"US0620",306
"US42",1,"US0613",405
"US42",1,"US0610",412
"US42",1,"US0625",479
"US42",1,"US0617",532
"US42",1,"US0619",916
"US42",2,"US0622",12
"US42",2,"US0623",30
"US42",2,"US0624",54
"US42",2,"US0609",69
"US42",2,"US0614",83
"US42",2,"US0611",86
"US42",2,"US0612",95
"US42",2,"US0625",107
"US42",2,"US0620",132
"US42",2,"US0618",162
"US42",2,"US0610",163
"US42",2,"US0616",175
"US42",2,"US0617",190
"US42",2,"US0621",238
"US42",2,"US0615",316
"US42",2,"US0619",397
"US42",3,"US0611",26
"US42",3,"US0624",27
"US42",3,"US0622",28
"US42",3,"US0625",28
"US42",3,"US0616",40
"US42",3,"US0623",52
"US42",3,"US0615",69
"US42",3,"US0612",83
"US42",3,"US0609",102
"US42",3,"US0620",137
"US42",3,"US0621",203
"US42",3,"US0614",244
"US42",3,"US0619",278
"US42",3,"US0617",350
"US42",3,"US0610",391
"US42",4,"US0616",77
"US42",4,"US0622",117
"US42",4,"US0609",119
"US42",4,"US0621",160
"US42",4,"US0620",165
"US42",4,"US0612",167
"US42",4,"US0611",172
"US42",4,"US0623",182
"US42",4,"US0615",189
"US42",4,"US0610",197
"US42",4,"US0617",222
"US42",4,"US0624",260
"US42",4,"US0619",334
"US42",4,"US0625",347
"US42",5,"US0616",54
"US42",5,"US0625",80
"US42",5,"US0622",106
"US42",5,"US0623",131
"US42",5,"US0621",148
"US42",5,"US0609",160
"US42",5,"US0615",162
"US42",5,"US0612",188
"US42",5,"US0611",191
"US42",5,"US0620",236
"US42",5,"US0619",314
"US42",5,"US0610",406
"US42",5,"US0617",477
"US42",6,"US0616",223
"US42",6,"US0611",280
"US42",6,"US0620",314
"US42",6,"US0609",357
"US42",6,"US0623",385
"US42",6,"US0622",461
"US42",6,"US0621",487
"US42",6,"US0615",506
"US42",6,"US0617",548
"US42",6,"US0625",548
"US42",6,"US0612",563
"US42",6,"US0619",718
"US42",8,"US0622",83
"US42",8,"US0616",92
"US42",8,"US0609",173
"US42",8,"US0623",202
"US42",8,"US0625",218
"US42",8,"US0612",219
"US42",8,"US0615",232
"US42",8,"US0621",248
"US42",8,"US0620",256
"US42",8,"US0611",298
"US42",8,"US0619",390
"US42",9,"US0616",100
"US42",9,"US0622",110
"US42",9,"US0611",135
"US42",9,"US0625",197
"US42",9,"US0621",236
"US42",9,"US0620",240
"US42",9,"US0612",251
"US42",9,"US0623",257
"US42",9,"US0615",496
"US42",9,"US0619",499
"US42",10,"US0611",119
"US42",10,"US0623",130
"US42",10,"US0616",218
"US42",10,"US0620",244
"US42",10,"US0612",332
"US42",10,"US0619",342
"US42",10,"US0615",397
"US42",10,"US0621",397
"US42",11,"US0623",139
"US42",11,"US0620",197
"US42",11,"US0611",248
"US42",11,"US0615",271
"US42",11,"US0616",290
"US42",11,"US0619",344
"US42",11,"US0621",383
"US42",12,"US0623",149
"US42",12,"US0616",250
"US42",12,"US0620",266
"US42",12,"US0615",312
"US42",12,"US0621",394
"US42",12,"US0619",486
"US42",13,"US0626",2
"US42",13,"US0624",10
"US42",13,"US0618",20
"US42",13,"US0614",38
"US42",13,"US0622",49
"US42",13,"US0613",170
"US42",13,"US0610",313
"US42",13,"US0609",364
"US42",13,"US0612",385
"US42",13,"unknown",613
"US42",13,"US0611",732
"US42",13,"US0617",739
"US42",13,"US0625",755
"US42",13,"US0620",778
"US42",13,"US0621",924
"US42",13,"US0616",1024
"US42",13,"US0623",1058
"US42",13,"US0615",1139
"US42",13,"host",1190
"US42",13,"US0619",1617
